"filename", "language", "HTML", "Dart", "JSON", "YAML", "Markdown", "C++", "CMake", "Swift", "XML", "Properties", "Gradle", "comment", "blank", "total"
"f:\code\inter_knot\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"f:\code\inter_knot\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"f:\code\inter_knot\linux\main.cc", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\code\inter_knot\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 17, 26, 125
"f:\code\inter_knot\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"f:\code\inter_knot\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 4, 37
"f:\code\inter_knot\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"f:\code\inter_knot\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"f:\code\inter_knot\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"f:\code\inter_knot\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"f:\code\inter_knot\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"f:\code\inter_knot\pubspec.yaml", "YAML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"f:\code\inter_knot\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"f:\code\inter_knot\web\index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"f:\code\inter_knot\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"f:\code\inter_knot\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 5, 24
"f:\code\inter_knot\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"f:\code\inter_knot\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"f:\code\inter_knot\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 16, 70
"f:\code\inter_knot\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"f:\code\inter_knot\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 87
"f:\code\inter_knot\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"f:\code\inter_knot\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"f:\code\inter_knot\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"f:\code\inter_knot\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"f:\code\inter_knot\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 19, 1916, 248, 187, 13, 622, 44, 84, 471, 8, 69, 267, 452, 4400
